City ID,City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
0,921786,Mitsamiouli,KM,-11.3847,43.2844,78.44,65,4,9.04
1,2269142,Colares,PT,38.7992,-9.4469,58.55,68,20,13.0
2,5122534,Jamestown,US,42.097,-79.2353,72.57,60,90,5.75
3,3354178,Ongandjera,NA,-17.8833,15.0667,66.49,35,0,6.51
4,2618795,Klaksvík,FO,62.2266,-6.589,47.32,84,48,12.01
5,6180550,Whitehorse,CA,60.7161,-135.0538,52.57,62,75,9.22
6,2065594,Mount Isa,AU,-20.7333,139.5,58.77,67,21,1.14
7,4032243,Vaini,TO,-21.2,-175.2,75.36,78,75,5.75
8,1260206,Pāsighāt,IN,28.0667,95.3333,76.05,93,74,3.67
9,6170031,Tuktoyaktuk,CA,69.4541,-133.0374,33.96,75,9,6.6
10,64814,Bandarbeyla,SO,9.4942,50.8122,82.13,67,0,16.6
11,3471451,Arraial do Cabo,BR,-22.9661,-42.0278,73.26,56,75,6.91
12,3412093,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,76,40,17.27
13,1731461,Alim,PH,9.5649,122.4876,80.17,78,53,3.0
14,2332504,Lafiagi,NG,8.8667,5.4167,85.17,58,13,4.74
15,2264557,Ponta do Sol,PT,32.6667,-17.1,65.93,78,47,5.14
16,5282297,Bethel,US,41.3712,-73.414,64.45,52,40,1.01
17,1651810,Airai,TL,-8.9266,125.4092,56.19,87,7,2.98
18,5106841,Albany,US,42.6001,-73.9662,71.42,39,33,3.38
19,681005,Comarnic,RO,45.25,25.6333,53.6,90,71,2.01
20,6096551,Pangnirtung,CA,66.1451,-65.7125,24.8,74,75,10.36
21,2022317,Khor,RU,47.8861,134.9464,48.22,89,53,2.64
22,1505579,Inta,RU,66.0317,60.1659,43.0,48,100,13.98
23,3366880,Hermanus,ZA,-34.4187,19.2345,59.9,81,50,6.06
24,4030556,Rikitea,PF,-23.1203,-134.9692,76.77,81,100,18.37
25,2015306,Tiksi,RU,71.6872,128.8694,35.85,71,96,7.25
26,2094342,Kavieng,PG,-2.5744,150.7967,81.63,78,98,6.91
27,5855927,Hilo,US,19.7297,-155.09,81.88,71,1,17.27
28,1803364,Linqu,CN,36.5156,118.5397,58.68,39,0,7.14
29,2206939,Bluff,NZ,-46.6,168.3333,38.41,81,6,7.47
30,2013465,Verkhoyansk,RU,67.5447,133.385,51.73,30,19,3.09
31,3369157,Cape Town,ZA,-33.9258,18.4232,59.94,84,80,1.01
32,5972291,Havre-St-Pierre,CA,50.2334,-63.5986,42.6,62,13,21.27
33,1529102,Ürümqi,CN,43.801,87.6005,65.35,28,0,1.99
34,1282256,Hithadhoo,MV,-0.6,73.0833,84.15,69,100,15.77
35,2301190,Elmina,GH,5.0898,-1.348,81.05,85,62,9.64
36,2155562,Nelson Bay,AU,-32.7167,152.15,49.12,73,60,8.84
37,3382160,Cayenne,GF,4.9333,-52.3333,76.08,91,75,10.47
38,4021858,Guerrero Negro,MX,27.9769,-114.0611,75.92,45,1,11.18
39,5848280,Kapaa,US,22.0752,-159.319,81.45,68,70,4.0
40,3833367,Ushuaia,AR,-54.8,-68.3,29.53,85,100,15.66
41,2126710,Beringovskiy,RU,63.05,179.3167,33.76,90,100,11.65
42,3874787,Punta Arenas,CL,-53.15,-70.9167,35.71,71,40,24.25
43,2147756,Swan Hill,AU,-35.3378,143.5544,61.48,49,100,18.95
44,5880054,Barrow,US,71.2906,-156.7887,28.42,86,90,13.8
45,5546220,Saint George,US,37.1041,-113.5841,80.65,17,0,1.01
46,6620339,Karratha,AU,-20.7377,116.8463,68.34,42,73,14.92
47,2125906,Dukat,RU,62.55,155.55,33.76,90,100,3.67
48,3424607,Tasiilaq,GL,65.6145,-37.6368,35.76,88,100,34.54
